row,Date,Open,High,Low,Close*,Adj Close**,Volume
0,2022-03-25,67.14,68.0,66.91,66.95,66.95,170429
1,2022-03-24,66.21,66.36,66.06,66.22,66.22,175900
2,2022-03-23,65.0,65.95,65.0,65.72,65.72,290700
3,2022-03-22,64.1,64.62,64.1,64.6,64.6,129100
4,2022-03-21,63.5,64.59,63.5,64.28,64.28,266200
5,2022-03-18,64.06,64.58,63.78,64.56,64.56,313800
6,2022-03-17,64.81,64.81,63.4,64.29,64.29,160100
7,2022-03-16,63.4,64.5,63.12,63.78,63.78,307600
8,2022-03-15,61.2,61.39,60.81,61.2,61.2,377100
9,2022-03-14,61.39,62.1,61.2,61.27,61.27,218000
10,2022-03-11,62.69,63.25,62.33,62.48,62.48,99800
11,2022-03-10,62.15,63.25,62.15,62.52,62.52,129500
12,2022-03-09,63.75,63.75,62.34,63.1,63.1,382600
13,2022-03-08,60.34,61.69,59.94,60.72,60.72,329800
14,2022-03-07,62.1,62.79,61.24,61.58,61.58,302200
15,2022-03-04,63.5,64.58,63.04,63.35,63.35,515400
16,2022-03-03,63.72,64.94,63.5,63.59,63.59,226200
17,2022-03-02,63.07,63.33,62.98,63.31,63.31,253400
18,2022-03-01,62.97,63.17,62.69,62.76,62.76,380600
19,2022-02-28,62.9,63.59,62.89,63.57,63.57,436500
20,2022-02-25,61.86,62.19,61.61,62.19,62.19,313700
21,2022-02-24,60.92,62.37,60.85,62.35,62.35,385100
22,2022-02-23,63.5,63.5,62.27,62.62,62.62,222300
23,2022-02-22,63.59,63.59,62.7,63.1,63.1,284400
24,2022-02-18,63.55,64.48,63.55,63.88,63.88,252300
25,2022-02-17,63.6,63.77,63.06,63.25,63.25,166100
26,2022-02-16,64.01,64.01,63.17,63.55,63.55,296300
27,2022-02-15,62.24,64.35,62.24,64.14,64.14,594300
28,2022-02-14,62.73,62.73,61.86,62.37,62.37,220500
29,2022-02-11,61.75,62.5,61.5,61.99,61.99,501200
30,2022-02-10,61.7,62.25,61.33,61.55,61.55,518500
31,2022-02-09,62.69,63.32,62.22,63.25,63.25,240200
32,2022-02-08,63.01,63.02,62.24,62.66,62.66,259400
33,2022-02-07,63.61,63.82,63.33,63.38,63.38,158400
34,2022-02-04,62.28,63.09,62.28,63.02,63.02,194400
35,2022-02-03,61.54,62.89,61.13,61.6,61.6,711500
36,2022-02-02,63.1,63.19,62.58,62.66,62.66,227800
37,2022-02-01,61.43,62.0,61.43,61.95,61.95,237900
38,2022-01-31,60.88,61.42,60.77,61.1,61.1,585000
39,2022-01-28,60.29,61.15,60.0,61.11,61.11,790200
40,2022-01-27,61.1,61.78,61.09,61.19,61.19,717700
41,2022-01-26,61.11,61.75,60.55,61.06,61.06,663300
42,2022-01-25,58.95,59.98,57.92,58.91,58.91,504400
43,2022-01-24,58.89,58.89,57.44,58.75,58.75,784600
44,2022-01-21,59.41,60.21,59.32,59.32,59.32,632700
45,2022-01-20,60.32,60.64,59.28,59.91,59.91,665100
46,2022-01-19,58.93,59.5,58.22,58.61,58.61,704600
47,2022-01-18,58.05,58.46,57.87,58.41,58.41,722000
48,2022-01-14,56.96,57.42,56.96,57.16,57.16,233400
49,2022-01-13,57.92,57.99,57.13,57.2,57.2,289100
50,2022-01-12,58.65,58.65,58.21,58.55,58.55,138000
51,2022-01-11,57.53,59.28,57.53,58.99,58.99,209500
52,2022-01-10,57.32,58.49,57.2,58.44,58.44,491100
53,2022-01-07,58.0,58.17,57.7,58.1,58.1,291000
54,2022-01-06,56.68,57.96,56.55,57.45,57.45,339200
55,2022-01-05,57.74,57.75,56.81,56.94,56.94,225500
56,2022-01-04,58.8,58.8,57.7,58.3,58.3,257400
57,2022-01-03,59.0,59.9,58.25,58.47,58.47,397300
58,2021-12-31,58.33,58.62,58.28,58.37,58.37,249400
59,2021-12-30,58.33,58.71,58.11,58.59,58.59,350000
60,2021-12-29,59.07,60.0,59.07,59.49,59.49,159600
61,2021-12-28,59.71,60.25,59.67,59.77,59.77,305600
62,2021-12-27,60.0,61.37,60.0,61.3,61.3,494100
63,2021-12-23,60.49,60.91,60.49,60.91,60.91,280800
64,2021-12-22,59.49,60.32,59.49,60.11,60.11,271300
65,2021-12-21,60.76,61.16,60.32,60.95,60.95,519000
66,2021-12-20,58.52,59.33,58.51,59.24,59.24,500100
67,2021-12-17,58.58,58.63,58.16,58.21,58.21,397900
68,2021-12-16,59.85,59.98,58.75,59.02,59.02,348100
69,2021-12-15,58.68,58.98,58.01,58.92,58.92,358200
70,2021-12-14,58.2,58.99,57.92,58.18,58.18,383500
71,2021-12-13,59.01,59.19,58.5,58.5,58.5,372900
72,2021-12-10,59.2,59.85,59.1,59.4,59.4,301500
73,2021-12-09,59.25,59.74,58.52,58.65,58.65,289500
74,2021-12-08,58.11,58.72,58.11,58.6,58.6,357200
75,2021-12-07,57.87,57.87,55.88,57.75,57.75,645400
76,2021-12-06,55.85,56.45,55.45,55.97,55.97,602900
77,2021-12-03,56.09,56.09,55.16,55.8,55.8,438700
78,2021-12-02,56.81,57.18,56.81,57.0,57.0,399700
79,2021-12-01,56.0,56.62,55.28,55.33,55.33,329300
80,2021-11-30,55.94,55.94,54.77,55.08,55.08,463200
81,2021-11-29,56.88,56.88,56.08,56.71,56.71,513700
82,2021-11-26,54.57,54.75,54.2,54.27,54.27,146900
83,2021-11-24,54.8,54.8,54.42,54.8,54.8,263000
84,2021-11-23,56.05,56.59,54.85,55.09,55.09,426100
85,2021-11-22,56.65,56.65,55.51,55.55,55.55,376800
86,2021-11-19,56.91,57.07,56.52,56.83,56.83,246100
87,2021-11-18,56.42,56.71,56.25,56.52,56.52,417600
88,2021-11-17,55.2,55.5,55.01,55.31,55.31,320400
89,2021-11-16,55.5,56.47,55.5,55.95,55.95,733800
90,2021-11-15,55.42,55.48,54.89,54.95,54.95,310900
91,2021-11-12,54.92,55.44,54.92,55.36,55.36,255000
92,2021-11-11,54.76,55.0,54.66,55.0,55.0,292700
93,2021-11-10,54.62,55.32,54.23,54.31,54.31,335300
94,2021-11-09,54.72,54.95,54.55,54.6,54.6,247300
95,2021-11-08,54.05,55.21,54.01,54.7,54.7,302700
96,2021-11-05,54.5,55.71,54.5,55.35,55.35,481600
97,2021-11-04,53.73,53.92,53.05,53.6,53.6,381900
98,2021-11-03,54.5,54.64,52.95,53.6,53.6,359900
99,2021-11-02,53.2,54.3,53.2,53.57,53.57,478100
